year,countries,ISO,region,hf_score,hf_rank
2019,Nigeria,NGA,Sub-Saharan Africa,6.28,123
2019,North Macedonia,MKD,Eastern Europe,7.75,58
2019,Norway,NOR,Western Europe,8.76,13
2019,Oman,OMN,Middle East & North Africa,5.92,133
2019,Pakistan,PAK,South Asia,5.63,145
2019,Panama,PAN,Latin America & the Caribbean,8.12,44
2019,Papua New Guinea,PNG,Oceania,7.17,82
2019,Paraguay,PRY,Latin America & the Caribbean,7.54,67
2019,Peru,PER,Latin America & the Caribbean,7.93,50
2019,Philippines,PHL,South Asia,6.83,101
2019,Poland,POL,Eastern Europe,7.96,49
2019,Portugal,PRT,Western Europe,8.69,18
2019,Qatar,QAT,Middle East & North Africa,6.15,128
2019,Romania,ROU,Eastern Europe,8.33,35
2019,Russian Federation,RUS,Eastern Europe,6.23,126
2019,Rwanda,RWA,Sub-Saharan Africa,6.36,120
2019,Saudi Arabia,SAU,Middle East & North Africa,5.12,155
2019,Senegal,SEN,Sub-Saharan Africa,7.07,87
2019,Serbia,SRB,Eastern Europe,7.54,67
2019,Seychelles,SYC,Sub-Saharan Africa,7.84,57
2019,Sierra Leone,SLE,Sub-Saharan Africa,6.7,111
2019,Singapore,SGP,South Asia,7.98,48
2019,Slovak Republic,SVK,Eastern Europe,8.21,39
2019,Slovenia,SVN,Eastern Europe,8.37,32
2019,Somalia,SOM,Sub-Saharan Africa,4.93,159
2019,South Africa,ZAF,Sub-Saharan Africa,7.3,77
2019,Spain,ESP,Western Europe,8.56,25
2019,Sri Lanka,LKA,South Asia,6.58,112
2019,Sudan,SDN,Sub-Saharan Africa,4.48,162
2019,Suriname,SUR,Latin America & the Caribbean,7.64,63
2019,Sweden,SWE,Western Europe,8.83,9
2019,Switzerland,CHE,Western Europe,9.11,1
2019,Syrian Arab Republic,SYR,Middle East & North Africa,3.66,165
2019,Taiwan,TWN,East Asia,8.68,19
2019,Tajikistan,TJK,Caucasus & Central Asia,5.52,153
2019,Tanzania,TZA,Sub-Saharan Africa,6.48,114
2019,Thailand,THA,South Asia,6.89,96
2019,Timor-Leste,TLS,South Asia,7.22,78
2019,Togo,TGO,Sub-Saharan Africa,6.5,113
2019,Trinidad and Tobago,TTO,Latin America & the Caribbean,7.7,60
2019,Tunisia,TUN,Middle East & North Africa,6.46,116
2019,Turkey,TUR,Middle East & North Africa,5.79,139
2019,Uganda,UGA,Sub-Saharan Africa,6.32,122
2019,Ukraine,UKR,Eastern Europe,6.86,98
2019,United Arab Emirates,ARE,Middle East & North Africa,6.06,131
2019,United Kingdom,GBR,Western Europe,8.75,14
2019,United States,USA,North America,8.73,15
2019,Uruguay,URY,Latin America & the Caribbean,8.36,33
2019,Venezuela,VEN,Latin America & the Caribbean,4.03,164
2019,Vietnam,VNM,South Asia,5.9,134
2019,Yemen,YEM,Middle East & North Africa,4.08,163
2019,Zambia,ZMB,Sub-Saharan Africa,6.82,102
2019,Zimbabwe,ZWE,Sub-Saharan Africa,5.6,149
